npsn,nama_sekolah,alamat,kecamatan,jumlah_siswa,jumlah_guru,kepala_sekolah,telepon,kondisi_lingkungan,akreditasi
2.0101915E7,SDN Joglo 04 Pt.,Jl. Komp. DKI Joglo,Kembangan,310.0,13.0,"Hj. Roiyah,S.Pd.MM",(021) 5864575,Baik,B
2.0105254E7,SDN Joglo 05 Pg.,Jl. Komp. DKI Joglo,Kembangan,429.0,15.0,"Yati Sumaryati, S.Pd",(021) 5866651,Baik,A
2.0101913E7,SDN Joglo 06 Pg.,Jl. Lapangan Merah,Kembangan,318.0,14.0,ANTONIUS SUMARDI,(021) 5871348,Baik,A
2.0105256E7,SDN Joglo 07 Pt.,Jl. Komp. DKI R002/RW08,Kembangan,322.0,15.0,"EFI SAEFI, S.Pd",(021) 58900713,Baik,B
2.0101912E7,SDN Joglo 08 Pg.,Komp. Pemadam,Kembangan,324.0,14.0,"Sutara LK, S.Pd.M.M.",(021) 5867571,Baik,A
2.010894E7,SDN Joglo 09 Pg.,Jl. AMD Joglo RT011/RW06,Kembangan,404.0,14.0,"MUSLIM, S.Pd",(021) 58907589,Baik,A
2.0105259E7,SDN Joglo 10 Pg.,Jl. Raya Joglo,Kembangan,335.0,17.0,"SUKIMAN, S.Pd",(021) 5865441,Baik,A
2.010526E7,SDN Joglo 11 Pg.,Jl. AMD Joglo,Kembangan,400.0,17.0,,(021) 5869057,Baik,A
2.010454E7,SDN Johar Baru 01 Pg.,Jl. Percetakan Negara IV No. 8,Johar Baru,248.0,13.0,Kartini,(021) 4213841,Baik,A
2.0104541E7,SDN Johar Baru 03 Pg.,Jl. Kramat Jaya Baru Blok H,Johar Baru,228.0,9.0,Srinatin,(021) 4246949,Padat/Kumuh,B
2.0104542E7,SDN Johar Baru 04 Pt.,Jl. Kramat Jaya Baru,Johar Baru,130.0,8.0,ROSIDI,(021) 4250733,Baik,B
2.0104543E7,SDN Johar Baru 05 Pg.,Jl. Kramat Jaya Baru Blok H-4,Johar Baru,257.0,10.0,HUSNIATY,(021) 4222202,Baik,B
2.0104544E7,SDN Johar Baru 07 Pg.,Jl. Percetakan Negara II,Johar Baru,267.0,11.0,"NURMALA,S.Pd",(021) 42881738,Baik,A
2.0104545E7,SDN Johar Baru 09 Pg.,Jl. Mardani Raya,Johar Baru,272.0,13.0,"Drs. Suwarjo,M.Pd",(021) 42874195,Baik,A
2.0104546E7,SDN Johar Baru 10 Pg.,Jl. Mardani Raya No.12A,Johar Baru,238.0,10.0,KARMINI,(021) 4209736,Banjir,B
2.0104548E7,SDN Johar Baru 13 Pg.,Jl. Kramat Jaya Gg. VIII,Johar Baru,260.0,12.0,Muhidin,(021) 4267863,Padat/Kumuh,B
