npsn,nama_sekolah,alamat,kecamatan,jumlah_siswa,jumlah_guru,kepala_sekolah,telepon,kondisi_lingkungan,akreditasi
6.9728746E7,SD Bangun Mandiri,Jl. H. Mursid No. 16,Pasar Minggu,,15.0,RITA AMALIANI,(021) 7271788,Baik,Tidak Terakreditasi
1.0,SD Bina Bangsa,Jl. Tanjung Pura V,Kalideres,,10.0,"Sopiah Watil Hayat, S.Psi",(021) 54396155,Baik,Tidak Terakreditasi
2.0109443E7,SD Bina Tunas Bangsa,Jl. Pluit Timur Blok MM,Penjaringan,,33.0,"S.WILLIANA K, M.Pd",(021) 30031300,Baik,A
2.0112485E7,SD Gemala Ananda,Jl. Lebak Bulus III No. 93G,Cilandak,210.0,17.0,Jasmin Jasin,(021) 75908596,Baik,A
2.0109914E7,SD Islam An Najah,Jl. SMAN 64,Cipayung,147.0,10.0,Ramdhani rahmat,(021) 84302039,Baik,B
2.0106322E7,SD ISLAM TAMAN QURANIYAH,Jl. Melati No. 100,Jagakarsa,145.0,7.0,Hj. NAPISAH MUHAMMAD,(021) 7822804,Baik,B
2.0177801E7,SD Islam Tunas Mandiri,Jl. Tanjung Barat Raya No. 1,Jagakarsa,143.0,15.0,"H. Ali Zaini, M.Pd.I",(021) 78841154,Baik,Tidak Terakreditasi
2.0110202E7,SD IT Daarun Na'iim,Jl. Semanan Raya No. 27,Kalideres,162.0,16.0,Dra. Mardianah,(021) 5402113,Baik,A
2.0109404E7,SD IT Insan Mulia,Jl. Metro Jaya No. 47,Pulo Gadung,,7.0,Santi Librayanti Oktadriani S.,(021) 47867702,Baik,Tidak Terakreditasi
2.010944E7,SD IT QATRUNNADA,Jl. Cempaka Baru I No. 11,Kemayoran,86.0,10.0,Dodi Nurhadi,,Baik,
2.0109251E7,SD JAC,Jl. Kelapa Nias Raya Blok QB-2 No. 1,Kelapa Gading,101.0,13.0,Agus Triyono,(021) 4528990,Baik,Tidak Terakreditasi
2.0109435E7,SD Jakarta Montessori,Jl. Durian No. 10,Jagakarsa,36.0,5.0,"Carol Engmann, M.Ed.,BSc.(Hons",(021) 7272162,Baik,Tidak Terakreditasi
6.9767781E7,SD JUARA,Jl. Jend. Sudirman Senayan Gedung E Lt. 1,Pasar Minggu,,10.0,,,Baik,
6.9752179E7,SD Juara,"Jl. B, Rawa Badung",Cakung,,12.0,"Rahmat Ilahi, S.Pd.I",(021) 46823218,Baik,Tidak Terakreditasi
6.9766212E7,SD KASIH ANUGERAH,Jl. Mushollah Blok B-3 No. 5,Kalideres,,13.0,"SANTY, S.PDK",,Baik,Tidak Terakreditasi
NP64648,SD Kasih Bagi Bangsa,Jl. Bangun Nusa Raya Blok H No. 1B,Cengkareng,,14.0,Harjoko Teguh Prasetyo,(021) 5453989,Baik,Tidak Terakreditasi
2.0109629E7,SD Khusus Al-Rahmah,Jl. Kampung Sawah Blok B,Cilincing,523.0,15.0,ARI AGUNG PURWANTO,(021) 44835027,Padat/Kumuh,B
2.0109315E7,SD Khusus Darut Tauhid,Jl. Raya Cacing Kp. Bedeng Malaka II,Cilincing,325.0,12.0,"DARTI , S.Pd",(021) 44830451,Padat/Kumuh,B
6.9755701E7,SD Khusus Insan Harapan,Jl. Kayu Besar,Cengkareng,,10.0,ROHAYATI,(021) 5555927,Baik,Tidak Terakreditasi
2.0109372E7,SD Khusus IT Yuda Patria,Jl. Marunda Baru III No. 1 RT8/RW6,Cilincing,77.0,9.0,"Sy. Mochamad Ulil Absor,S.Sos.",(021) 95384553,Baik,B
2.0177882E7,SD Kristen Calvin Jakarta,Komp. Kemayoran Blok B-14 No. 1,Kemayoran,192.0,26.0,"Rame Manurung, M.A.",(021) 65867812,Baik,A
2.0105712E7,SD Kristen Kasih Karunia,Taman Palem Lestari Blok F-6 No. 21-23,Cengkareng,433.0,21.0,"MAYA FELICYA S, SE",(021) 55956640,Baik,A
2.0109938E7,SD Kristen Penabur,Boulevard Bukit Gading Raya Blok A5-A8,Kelapa Gading,470.0,42.0,"Dra. Minar Hotmauli Pakpahan,",(021) 45840601,Baik,A
2.0109384E7,SD Marie Joseph,"Puspa Gading I Blok H-2 No. 4-6-8-10, Jakarta Utara",Kelapa Gading,422.0,22.0,"Dominika, S.Ag (Sr.Maria Elisa",(021) 4517735,Baik,A
2.0112515E7,SD Muhammadiyah 09 Plus,Jl. SMAN 71 No. 18,Duren Sawit,154.0,20.0,"Shahibah Yuliani, S.Sos.,M.Pd",(021) 97959514,Baik,Tidak Terakreditasi
2.0109497E7,SD NATIONALHIGH JAKARTA SCHOOL,Jl. Raya Pos Pengumben No. 41,Kembangan,328.0,17.0,"M. Rizki Reza, S.Ag.",(021) 58902962,Baik,A
6.9874085E7,SD Pelita Harapan,Jl. Pangeran Anatsari No. 36,Mampang Prapatan,,15.0,Rosma Indriana Purba,(021) 29056789,Baik,Tidak Terakreditasi
2.0121003E7,SD Singapore School Kelapa Gading,Jl. Pegangsaan Dua No. 83,Kelapa Gading,255.0,1.0,hutauming t,(021) 4608888,Baik,A
6.9753896E7,SD Tzu Chi,"Tzu Chi Center, Jl. Pantai Indah Kapuk Boulevard",Penjaringan,,52.0,Caroline Widjanarko,(021) 50556668,Baik,Tidak Terakreditasi
2.0109408E7,SD Westin,"Teluk Gong, Jl. G No. 408",Penjaringan,265.0,15.0,"Elfindah Princes,S.Kom",(021) 6600705,Baik,B
2.0103086E7,SDI Al Achfas Dwi Matra,Jl. Jaha No. 30B,Pasar Minggu,391.0,24.0,"Drs.H.Muhammad Sholeh, MSi.",(021) 7803892,Baik,A
2.0103098E7,SDI Al Azhar Syuhada,Jl. Jagakarsa Raya No. 38,Jagakarsa,180.0,13.0,"DRS. H. NUR CHOLIS,M.PD",(021) 7873361,Baik,B
2.0105806E7,SDI Al Azkar,Jl. Karang Tengah Raya 30A,Cilandak,246.0,34.0,"ZULKIFLI MALIK, S.Pd.",(021) 7696903,Baik,A
2.0105807E7,SDI Al Barkah,Jl. Karang Tengah Raya No. 10,Cilandak,171.0,10.0,"AHMAD MUNTHO'I, S.Pd.I",(021) 75910612,Baik,A
2.0105808E7,SDI Al Hasaniah,Jl. Margasatwa,Cilandak,341.0,17.0,"PEPEN EFENDI, S.Ag",(021) 75911774,Baik,A
2.0103049E7,SDI Al Jabr Islamic School,Jl. Bango II No. 34,Cilandak,,21.0,"KARTIKA DESY WARDANI,S.SOS",(021) 75913675,Baik,Tidak Terakreditasi
2.0105805E7,SDI Al-Amjad,Jl. Damai V No. 14,Kebayoran Baru,251.0,15.0,"Hj. Siti Nurlaelah, S.Ag",(021) 7243484,Baik,A
2.0106243E7,SDI Al-Hikmah,Jl. Kemajuan No. 48-55,Pesanggrahan,,18.0,"Iis Dianti, S.Ag",(021) 73883707,Padat/Kumuh,A
2.0106248E7,SDI An Nizomiyah,Jl. Masjid Al Fajri No. 16A,Pasar Minggu,,21.0,MUHAMMAD NIZOM CHOTIB,(021) 7971208,Baik,A
2.0103084E7,SDI Annajah,Jl. Ciledug Raya No. 10,Pesanggrahan,844.0,39.0,"Mujaeni, M.Pd",(021) 73886134,Baik,A
6.9775729E7,SDI Ar Rofi'iyyah,Jl. H. Sulaiman No. 40,Makasar,,8.0,IRFAN ABDUL HILMI,,Baik,B
6.9880787E7,SDI As Salam,"Komp. DKI Joglo, Jl. Masjid As Salam",Kembangan,,19.0,"Fetty Fetriany, S.Ag",(021) 5873050,Baik,Tidak Terakreditasi
2.0104991E7,SDI Baburridho,Jl. Baru No. 52,Cilincing,252.0,10.0,KHANIFAH,(021) 4418163,Banjir,B
2.0105809E7,SDI Darul Ma'arif,Jl. RS Fatmawati No. 45,Cilandak,113.0,10.0,"RADIANTO,S.Pd",(021) 7694127,Baik,B
2.0103071E7,SDI Darul Muttaqin,Jl. H. Gaim No. 126 RT10/RW02,Pesanggrahan,277.0,13.0,Dra. Siti Nurhidayati,(021) 5868179,Baik,A
2.0103085E7,SDI Darunnajah Ulujami,Jl. Ulujami Raya No. 86,Pesanggrahan,696.0,47.0,"H. Nur Khamid, Lc.,M.Pd.",(021) 7376346,Baik,A
2.0106271E7,SDI Dwi Matra,Jl. MPR III No. 30A,Cilandak,416.0,39.0,"MUHAFILLAH, S.Ag",(021) 7506152,Baik,A
2.010581E7,SDI Islam Al Ikhlas,Jl. Cipete III No. 3,Cilandak,838.0,42.0,NURFIYANTI,(021) 7664506,Baik,A
2.0106295E7,SDI Manaratul Islam,Jl. Madrasah No. 12,Cilandak,284.0,13.0,"ANDI DIRGABRIANTO, SE",(021) 75913466,Baik,A
2.0105058E7,SDI Manba'ul Hikmah,"Jl. Tipar No. 2, Cakung",Cilincing,604.0,21.0,"SUKEMI,S.Pd",(021) 44830057,Banjir,A
2.0106299E7,SDI Muawanah,Jl. H. Musa No. 72,Pesanggrahan,174.0,7.0,Ubaidilah,(021) 73690970,Baik,B
2.010305E7,SDI Plus Al-Islam,Jl. Aselih,Jagakarsa,217.0,14.0,"H. Nurali, M.M.Pd.",(021) 78885503,Baik,A
2.0106278E7,SDI Plus Darul Musthofa,Jl. Sabar I No. 27,Pesanggrahan,308.0,18.0,"SINTA ROSITA, S.Pd.I",(021) 73690975,Baik,A
2.0110224E7,SDI Robiatul Adawiyah,Jl. Sungai Tiram No. 39,Cilincing,,10.0,AI ROBIAH,(021) 44851658,Padat/Kumuh,Tidak Terakreditasi
2.0112512E7,SDI Sehati,"Jl. Kapuk Rawa Gabus RT009/RW011, Kapuk",Cengkareng,127.0,12.0,Drs. SURATNO,(021) 90337893,Padat/Kumuh,Tidak Terakreditasi
2.0105138E7,SDI Terpadu A BA TA,Jl. Srengseng Raya No. 45,Kembangan,438.0,45.0,"Encep Sopyan Sori, M.Pd.I",(021) 5865952,Baik,A
2.010633E7,SDI YPI Bintaro,Jl. Rempoa Raya No. 1,Pesanggrahan,164.0,11.0,Muhamad Marwijih SE,(021) 7343971,Baik,B
2.0105811E7,SDIT Al-Hikmah,Jl. Al-Barkah I No. 56A,Cilandak,275.0,20.0,Zaenal Abidin,(021) 7661634,Baik,A
6.9830128E7,SDIT Al Barkah Komadar,"Komp. TNI AL Komadar, Jl. Teguh Karya No. 3",Kelapa Gading,,7.0,RIANA SRIYATI,(021) 45874669,Baik,Tidak Terakreditasi
2.0103045E7,SDIT Al Biruni,Jl. Raya Lenteng Agung No. 43,Jagakarsa,220.0,14.0,ACHMAD ALI RIDHO,(021) 78849234,Baik,A
2.0109204E7,SDIT Al Halimiyah,Jl. Robusta Raya No. 31,Duren Sawit,762.0,41.0,"Muniroh Halim, S.Pd.I",(021) 86600938,Baik,A
2.0109237E7,SDIT Al Mubarak,Jl. Pramuka Sari III No. 28,Cempaka Putih,374.0,31.0,YAYAN SUPIANA,(021) 4269246,Baik,B
2.0109079E7,SDIT Al Muhajirin,Jl. Raya Pondok Kopi Blok E,Duren Sawit,267.0,14.0,ITA DEWI YOGYASWARI,(021) 29486061,Baik,B
2.0109525E7,SDIT Al Muhajirin,Jl. Badak Laut No. 20-21,K o j a,433.0,33.0,SAFRUDIN,(021) 43933791,Baik,A
2.0109283E7,SDIT Al-Iman,Jl. Cipinang Elok II,Jatinegara,199.0,19.0,"Hj. Fitriyani, M.Pd",(021) 8517963,Baik,A
2.0105812E7,SDIT Al-Mughni,Jl. Gatot Subroto Kav. 26,Setia Budi,306.0,35.0,Ijat Sudrajat S.Ag,(021) 52961471,Baik,A
2.0112518E7,SDIT Al-Uswah,Jl. Raya Srengseng Sawah No. 21,Jagakarsa,,36.0,MULKI MUSTOPA,(021) 78892036,Baik,Tidak Terakreditasi
6.9756118E7,SDIT Almaka,Jl. Peta Selatan No. 2,Kalideres,,34.0,"Harni, S.Pd. MM",(021) 54377595,Baik,Tidak Terakreditasi
2.0121015E7,SDIT Ar Rahman,Jl. Palem I No. 45A,Pesanggrahan,222.0,20.0,NENENG FARIDAH,(021) 73690948,Baik,Tidak Terakreditasi
6.9772515E7,SDIT Ar-Risaalah,Jl. Gaga Gg. Mangga II,Kalideres,,14.0,Mohammad Sohir,(021) 93641189,Baik,Tidak Terakreditasi
2.0177884E7,SDIT Arrahmah Jakarta,"Komp. PTB, Jl. Duren Sawit Barat II No. 2 Blok F",Duren Sawit,,23.0,"Badrotin,S.Pd",(021) 86611883,Baik,Tidak Terakreditasi
2.0112484E7,SDIT Assa'adah,Jl. H. Said No. 29,Kebayoran Baru,,9.0,Ali Hasan Trisatya,(021) 21723234,Baik,Tidak Terakreditasi
2.0177814E7,SDIT Assalaamah,Jl. Rawakuning No. 29,Cakung,210.0,18.0,"HJ. SITI MAS'AH, MA",(021) 46822644,Baik,Tidak Terakreditasi
2.0109307E7,SDIT Buah Hati,Jl. H. Baing No. 99 RT11/RW04,Kramat Jati,794.0,39.0,"Iwan Marwazie, S.Ag",(021) 87790789,Baik,A
2.010942E7,SDIT Daarul Hasanah,Jl. Warung Jati Timur Gg. Al Barkah No. 61,Pancoran,317.0,17.0,ASIKIN,(021) 7973101,Baik,Tidak Terakreditasi
2.0112418E7,SDIT Daarul Qur'an Tebet,Jl. Palbatu 1 No. 21,T e b e t,,17.0,"Hj.SULASTRI RASYID, S. Pd",(021) 83787837,Baik,Tidak Terakreditasi
2.0121009E7,SDIT Daqta,"Malaka Country, Jl. Malaka Hijau No. 45",Duren Sawit,311.0,28.0,MIFTACHUL HUDA,(021) 86055555,Baik,Tidak Terakreditasi
2.0109188E7,SDIT Darul Hikmah,Jl. Pancawarga II No. 38,Jatinegara,,9.0,Arif Rahman,(021) 8196405,Padat/Kumuh,Tidak Terakreditasi
2.0110034E7,SDIT Harapan Ummat,Jl. Kesatrian X RT014/RW013,Matraman,136.0,15.0,"Suliyanto,S.Pd.I",(021) 28953395,Baik,B
2.0109543E7,SDIT Hidayatullah,Jl. Cilangkap Baru No. 99,Cipayung,202.0,21.0,"ANITA MARFIANTI, M.Pd",(021) 84310595,Baik,Tidak Terakreditasi
2.0106266E7,SDIT Insan Mandiri,Jl. Batu Merah No. 71,Pasar Minggu,413.0,48.0,"ABDUL HAKIM, S.Kom, MM",(021) 7980523,Baik,A
2.011248E7,SDIT Segar Amanah,Jl. Naga Raya No. 20,Duren Sawit,64.0,10.0,"SITI RAHAYU, S.Pd",(021) 8660041,Baik,Tidak Terakreditasi
2.0104423E7,SDK IPEKA Integrated Christian School (IICS),Jl. Komp. Taman Meruya Ilir Blok K,Kembangan,,43.0,Gabie Alvina,(021) 58905890,Baik,A
2.0110035E7,SDK Pelita Anugerah,Jl. Menceng Raya Blok E-3 No. 12-13,Kalideres,219.0,19.0,"Abdul Rochman, S.Pd",(021) 5556476,Baik,A
2.0109191E7,SDK Taruna Harapan Bangsa,Jl. Tugu No. 7,Cipayung,66.0,7.0,"Ai Komarawati,SPd.K",(021) 8446325,Baik,B
2.0104841E7,SDN Ancol 01 Pg.,Jl. Parang Tritis VI No. 2,Pademangan,558.0,20.0,"Haryanti, S.Pd",(021) 69830451,Baik,A
2.0104842E7,SDN Ancol 03 Pg.,Jl. Kampung Muka No. 419,Pademangan,416.0,16.0,"Hj. Mulyati, S.Pd, M.Si",(021) 6926285,Padat/Kumuh,A
2.0101023E7,SDN Ancol 04 Pt.,Jl. Kampung Muka No. 420,Pademangan,320.0,14.0,"Hartini, S.Pd.MM.",(021) 6930457,Padat/Kumuh,B
2.0105139E7,SDN Angke 01 Pg.,Jl. Angke Indah Gg. V,Tambora,525.0,21.0,"LELA KODARIAH, S.Pd",(021) 63862863,Padat/Kumuh,A
2.0102028E7,SDN Angke 03 Pg.,Jl. Angke Indah Gg. VII,Tambora,220.0,11.0,"HARYANTO, S. Pd",(021) 6308054,Baik,A
2.0102027E7,SDN Angke 04 Pt.,Jl. Angke Indah Gg. V,Tambora,222.0,11.0,Sri Nurhayati Dewi,(021) 63866046,Padat/Kumuh,B
2.0105143E7,SDN Angke 05 Pg.,Jl. Angke Indah I Gg. V No. 8,Tambora,272.0,11.0,SRI NURHAYATI DEWI,(021) 63860833,Baik,B
2.0102025E7,SDN Angke 06 Pg.,Jl. Angke Indah Gg. V,Tambora,295.0,13.0,PULUNG,(021) 6315881,Padat/Kumuh,B
2.0104316E7,SDN Bale Kambang 01 Pg.,Jl. Munggang Gg. Rawa Elok,Kramat Jati,415.0,15.0,"LULUT SUPARMI,S.Pd.SD",(021) 8007910,Banjir,B
2.0104315E7,SDN Bale Kambang 03 Pg.,Jl. Gardu RT001/RW02,Kramat Jati,457.0,20.0,"Supartinah,S.Pd, MM",(021) 8002815,Baik,B
2.0108665E7,SDN Balimester 01 Pg.,Jl. Matraman Raya No. 226,Jatinegara,251.0,12.0,"Dra. Resmiyati Mulyani, MM",(021) 85903773,Baik,A
2.0108667E7,SDN Balimester 02 Pt.,Jl. Matraman Raya No. 226,Jatinegara,295.0,14.0,Redise Gultom,(021) 85905543,Baik,B
2.0108668E7,SDN Balimester 03 Pt.,Jl. Matraman Raya No. 177,Jatinegara,330.0,17.0,Dra. WENING ESTININGSIH,(021) 85905122,Baik,B
2.0108976E7,SDN Balimester 06 Pg.,Jl. Jatinegara Barat IV No. 12,Jatinegara,233.0,11.0,"Mawarni Hutabarat,M.MPd",(021) 85907767,Padat/Kumuh,C
2.0108669E7,SDN Balimester 07 Pt.,Jl. Jatinegara Barat IV No. 12,Jatinegara,188.0,8.0,"Euis Sri Riwayati, S.Pd, M.M",(021) 85913961,Baik,B
2.0104314E7,SDN Bambu Apus 01 Pg.,Jl. Bambu Apus Raya,Cipayung,388.0,17.0,"Hj.Rr. Sri Kusdianti, M.Pd",(021) 8449868,Baik,A
2.0104313E7,SDN Bambu Apus 02 Pg.,Jl. Bambu Apus Raya,Cipayung,394.0,15.0,"Sri Mulyati, S.Pd",(021) 8448878,Baik,B
2.0104312E7,SDN Bambu Apus 03 Pg.,Jl. Bambu Hijau,Cipayung,798.0,31.0,"APUD SYARIFUDIN, S.Pd",(021) 84598828,Baik,A
2.0104311E7,SDN Bambu Apus 04 Pg.,Jl. Laksamana VIII PAD TMII,Cipayung,433.0,18.0,"ISMIATUN, M.Pd.",(021) 8485584,Baik,B
2.0104291E7,SDN Bambu Apus 05 Pg.,Jl. Laksamana VIII PAD TMII,Cipayung,439.0,17.0,"Hj.SRI PENI,S.Pd,SD,M.M",(021) 8485607,Padat/Kumuh,B
2.0103134E7,SDN Bangka 01 Pg.,Jl. Kemang Timur XVIII No. 39,Mampang Prapatan,336.0,12.0,"AMAN FIRMANSYAH, S.Pd",(021) 7190955,Baik,A
2.0105813E7,SDN Bangka 03 Pg.,Jl. Kemang Timur XI,Mampang Prapatan,233.0,11.0,T. Sri Umi Widiyaningsih,(021) 7199337,Banjir,A
2.0103146E7,SDN Bangka 05 Pg.,Jl. Kemang Selatan I,Mampang Prapatan,185.0,11.0,"SUBARYANTO, S.Pd",(021) 7180943,Banjir,A
2.0103145E7,SDN Bangka 06 Pg.,Jl. Kemang Selatan I,Mampang Prapatan,208.0,10.0,"SUMILAH, S. Pd.",(021) 7181806,Banjir,A
2.0103144E7,SDN Bangka 07 Pg.,Jl. Kemang Timur XI,Mampang Prapatan,168.0,11.0,"Mariana Tambunan, S.Pd, M.Si",(021) 7193611,Banjir,A
2.0108989E7,SDN Baru 01 Pg.,Jl. R.A. Fadillah,Pasar Rebo,328.0,16.0,"H. A. SUMARTA, S. Ag.",(021) 8402627,Baik,A
2.0108997E7,SDN Baru 02 Pg.,"Jl. R.A. Fadillah, Cijantung III",Pasar Rebo,421.0,17.0,"SUKARNI,S.Pd.SD",(021) 87796376,Baik,A
2.010899E7,SDN Baru 03 Pg.,Jl. Gotong Royong,Pasar Rebo,569.0,23.0,"Mukti Rasyid,S.Pd",(021) 8706843,Baik,A
2.0108812E7,SDN Baru 05 Pg.,Jl. Puskesmas No. 34,Pasar Rebo,325.0,12.0,"RATNAWATI,S.Pd SD",(021) 8414255,Baik,A
2.0108813E7,SDN Baru 06 Pg.,Jl. Puskesmas,Pasar Rebo,276.0,16.0,"NURJENNY SIMANJUNTAK, S.Pd.",(021) 87781650,Baik,A
2.010867E7,SDN Baru 07 Pg.,Jl. RA. Fadillah Cijantung III,Pasar Rebo,461.0,19.0,MUDIARTI,(021) 8415360,Baik,A
2.0109093E7,SDN Baru 08 Pg.,Jl. Sawo,Pasar Rebo,425.0,16.0,"Hj.HERNI UMAR, S.Pd",(021) 8706259,Baik,A
2.010427E7,SDN Batu Ampar 01 Pg.,Jl. Raya Bogor,Kramat Jati,374.0,18.0,"Hj. YAYUK HARTINI, S.Pd",(021) 8003243,Baik,A
2.0104269E7,SDN Batu Ampar 02 Pg.,Jl. Batu Ampar III No. 2,Kramat Jati,436.0,16.0,"Hj.Feriatny, S.Pd.MM.",(021) 8014619,Baik,B
2.0104268E7,SDN Batu Ampar 03 Pg.,Jl. Batu Ampar III,Kramat Jati,416.0,15.0,"SUHERNAH, M.MPd",(021) 8090041,Baik,A
2.0104266E7,SDN Batu Ampar 05 Pg.,Jl. SMPN 126,Kramat Jati,253.0,10.0,SULANDJARI,(021) 8004932,Banjir,B
2.0104265E7,SDN Batu Ampar 06 Pg.,Jl. Batu Jamrut,Kramat Jati,460.0,14.0,"SUHARTATI,M.MPd",(021) 8016957,Baik,A
2.0104264E7,SDN Batu Ampar 07 Pg.,Jl. SMPN 126,Kramat Jati,259.0,10.0,"BUNARI, S. Pd, MM",(021) 8007207,Padat/Kumuh,B
2.0104263E7,SDN Batu Ampar 08 Pg.,Jl. Damai No. 60 RT007/RW03,Kramat Jati,308.0,12.0,Elizabeth Darmastuti,(021) 8415685,Baik,A
2.0109225E7,SDN Batu Ampar 09 Pg.,Jl. Damai No. 60 RT007/RW03,Kramat Jati,269.0,12.0,"BERNARDINE PRAPTININGSIH, S. P",(021) 8404543,Baik,A
2.0108788E7,SDN Batu Ampar 10 Pg.,Jl. SMPN 126,Kramat Jati,308.0,9.0,"NURSIDAH,S.Pd.M.M",(021) 8014806,Baik,B
2.0104262E7,SDN Batu Ampar 11 Pg.,Jl. Batu Ampar II No. 88,Kramat Jati,426.0,16.0,SONTA PARDEDE,(021) 8011475,Baik,A
2.0104261E7,SDN Batu Ampar 12 Pg.,Jl. Batu Ampar III,Kramat Jati,420.0,15.0,SUHARNO,(021) 8014917,Baik,A
2.010426E7,SDN Batu Ampar 13 Pg.,Jl. Masjid Condet,Kramat Jati,430.0,15.0,"Maryati, M.MPd",(021) 8095094,Baik,A
2.010039E7,SDN Bendungan Hilir 01 Pg.,Jl. D. Toba Pejompongan,Tanah Abang,764.0,34.0,"ROSMALINA BR PAYUNG, SPd",(021) 5720347,Baik,B
2.0100392E7,SDN Bendungan Hilir 05 Pg.,Jl. Danau Limboto No. 9,Tanah Abang,290.0,16.0,Ani Ismani,(021) 5731168,Baik,A
2.0100379E7,SDN Bendungan Hilir 09 Pg.,Jl. Danau Tondano No. 10,Tanah Abang,341.0,15.0,Rukdi,(021) 5719844,Baik,A
2.010448E7,SDN Bendungan Hilir 11 Pg.,Jl. Taman Bend. Jati Luhur,Tanah Abang,115.0,11.0,,(021) 5709482,Baik,B
2.0104481E7,SDN Bendungan Hilir 12 Pg.,Jl. Taman Bend. Jati Luhur,Tanah Abang,253.0,15.0,"H. Hidayat, SH, M.Pd",(021) 5720873,Baik,A
2.0109019E7,SDN Bidaracina 01 Pg.,Jl. Sensus Raya II No. 02,Jatinegara,325.0,17.0,"Norsita Sinaga, S.Pd. MM.",(021) 8575961,Baik,A
2.0108387E7,SDN Bidaracina 03 Pg.,Jl. Setia No. 10,Jatinegara,343.0,15.0,"Rosiana Sinaga, S.Pd.MM",(021) 85906091,Banjir,A
2.0108389E7,SDN Bidaracina 05 Pg.,Jl. Tanjung Lengkong No. 51,Jatinegara,392.0,16.0,Nardi,(021) 29621727,Banjir,A
2.0103143E7,SDN Bintaro 01 Pg.,Jl. Bintaro Permai III,Pesanggrahan,436.0,16.0,Sufiyati Yasmi,(021) 7364713,Baik,A
2.0103142E7,SDN Bintaro 02 Pg.,Jl. Bintaro Permai III,Pesanggrahan,414.0,16.0,"SUGENG, S.Pd",(021) 73887585,Baik,B
2.0105814E7,SDN Bintaro 03 Pg.,Jl. Rawapapan,Pesanggrahan,229.0,14.0,"Dra. HJ. Rosna Dewi Pane, MM",(021) 7370490,Baik,A
2.010314E7,SDN Bintaro 04 Pg.,Jl. Rawapapan,Pesanggrahan,427.0,18.0,"Tahyan Alisaripudin, S. Pd",(021) 7376262,Baik,A
2.0103139E7,SDN Bintaro 05 Pg.,Jl. Komp. IKPN,Pesanggrahan,385.0,15.0,Naji Supriatna,(021) 73884367,Banjir,B
2.0103138E7,SDN Bintaro 06 Pt.,Jl. Bintaro Permai III,Pesanggrahan,267.0,13.0,"Hj. Cucu Sumiarsih, S.Pd",(021) 7343799,Padat/Kumuh,A
2.0103137E7,SDN Bintaro 08 Pg.,"Jl. MKJ III, Bintaro",Pesanggrahan,463.0,19.0,"Drs. Bambang Triono, M.Th",(021) 7373184,Baik,B
2.0103136E7,SDN Bintaro 09 Pg.,"Jl. MKJ III, Bintaro",Pesanggrahan,447.0,15.0,"Hj. SUPRIYATI, S.Pd",(021) 7379638,Baik,B
2.0103135E7,SDN Bintaro 10 Pt.,Jl. Bintaro Permai III,Pesanggrahan,176.0,13.0,"KESIA SIMANJUNTAK, S.Pd",(021) 7372662,Padat/Kumuh,B
2.0103148E7,SDN Bintaro 11 Pg.,Jl. Bintaro Permai III,Pesanggrahan,337.0,14.0,"SUGENG, S.Pd",(021) 73885888,Baik,A
2.0103149E7,SDN Bintaro 12 Pg.,Jl. Kesehatan VI,Pesanggrahan,492.0,20.0,"Drs. SUTARMO, M.Pd",(021) 7379411,Baik,B
2.010315E7,SDN Bintaro 13 Pg.,Jl. Kesehatan VI,Pesanggrahan,428.0,17.0,"Hj. CUCU SUMIARSIH, S.Pd",(021) 7362771,Baik,A
2.0103159E7,SDN Bintaro 14 Pg.,Jl. Mawar Dalam III,Pesanggrahan,486.0,21.0,"Drs. HARUN, MM",(021) 7378069,Baik,B
2.0103161E7,SDN Bukit Duri 01 Pg.,Jl. Bukit Duri Tanjakan,T e b e t,267.0,10.0,"Neneng Sukatmi, S.Pd",(021) 83791104,Padat/Kumuh,A
2.0103163E7,SDN Bukit Duri 03 Pg.,Jl. Peruk No. 32,T e b e t,431.0,16.0,"Syaein NS., S.Pd.I",(021) 8316118,Padat/Kumuh,A
2.0103164E7,SDN Bukit Duri 04 Pg.,Jl. Peruk No. 32,T e b e t,226.0,10.0,"Dra. Harwati, M.Pd",(021) 83790708,Baik,B
2.0105821E7,SDN Bukit Duri 05 Pg.,Jl. Peruk Bukit Duri No. 32,T e b e t,314.0,12.0,"Kertaningsih, S.Pd",(021) 8354674,Baik,A
2.0103156E7,SDN Bukit Duri 07 Pg.,Jl. Peruk,T e b e t,403.0,15.0,"ROKHANI, S.Pd",(021) 8316375,Baik,B
2.0103155E7,SDN Bukit Duri 09 Pg.,Jl. Bukit Duri Tanjakan,T e b e t,291.0,13.0,"ETI YUNIARTI, M.Pd",(021) 83705319,Padat/Kumuh,B
2.0103154E7,SDN Bukit Duri 10 Pt.,Jl. Bukit Duri Tanjakan,T e b e t,297.0,23.0,Drs. Supriyana,(021) 83705319,Padat/Kumuh,C
2.0103153E7,SDN Bukit Duri 11 Pg.,Jl. Bukit Duri Tanjakan,T e b e t,183.0,8.0,ASIROHA SIPAYUNG,(021) 83708770,Padat/Kumuh,A
2.010037E7,SDN Bungur 01 Pg.,Jl. Angsana No. 4,S e n e n,221.0,8.0,AH RUZAINI,(021) 4223710,Baik,A
2.0100371E7,SDN Bungur 02 Pt.,Jl. Angsana No. 4,S e n e n,189.0,8.0,HARDI PRIYONO,(021) 42878365,Baik,B
